### BEGIN 10.0.10.21
Route Flags: R - relay, D - download to fib
------------------------------------------------------------------------------
Routing Tables: Public
         Destinations : 35       Routes : 36       

Destination/Mask    Proto   Pre  Cost      Flags NextHop         Interface

      10.0.10.0/24  Direct  0    0           D   10.0.10.21      GigabitEthernet0/0/0
     10.0.10.21/32  Direct  0    0           D   127.0.0.1       GigabitEthernet0/0/0
    10.0.10.255/32  Direct  0    0           D   127.0.0.1       GigabitEthernet0/0/0
       10.1.0.0/16  IBGP    255  0           D   127.0.0.1       NULL0
       10.1.1.1/32  Direct  0    0           D   127.0.0.1       LoopBack0
       10.1.2.2/32  ISIS-L2 15   10          D   10.1.12.2       Serial2/0/0
       10.1.3.3/32  OSPF    10   1563        D   10.1.145.5      Serial1/0/0
       10.1.4.4/32  OSPF    10   1562        D   10.1.145.4      Serial1/0/0
       10.1.5.5/32  OSPF    10   1562        D   10.1.145.5      Serial1/0/0
       10.1.6.6/32  OSPF    10   1563        D   10.1.145.5      Serial1/0/0
      10.1.12.0/24  Direct  0    0           D   10.1.12.1       Serial2/0/0
      10.1.12.1/32  Direct  0    0           D   127.0.0.1       Serial2/0/0
      10.1.12.2/32  Direct  0    0           D   10.1.12.2       Serial2/0/0
    10.1.12.255/32  Direct  0    0           D   127.0.0.1       Serial2/0/0
      10.1.15.0/24  Direct  0    0           D   10.1.15.1       GigabitEthernet0/0/0.15
      10.1.15.1/32  Direct  0    0           D   127.0.0.1       GigabitEthernet0/0/0.15
    10.1.15.254/32  Direct  0    0           D   127.0.0.1       GigabitEthernet0/0/0.15
    10.1.15.255/32  Direct  0    0           D   127.0.0.1       GigabitEthernet0/0/0.15
      10.1.24.0/24  ISIS-L2 15   20          D   10.1.12.2       Serial2/0/0
      10.1.30.0/24  OSPF    10   1564        D   10.1.145.5      Serial1/0/0
                    OSPF    10   1564        D   10.1.145.4      Serial1/0/0
     10.1.33.33/32  OSPF    10   1563        D   10.1.145.5      Serial1/0/0
      10.1.34.0/24  OSPF    10   1563        D   10.1.145.4      Serial1/0/0
      10.1.35.0/24  OSPF    10   1563        D   10.1.145.5      Serial1/0/0
      10.1.40.0/24  EBGP    255  0           D   10.1.12.2       Serial2/0/0
      10.1.56.0/24  OSPF    10   1563        D   10.1.145.5      Serial1/0/0
     10.1.100.1/32  Direct  0    0           D   127.0.0.1       LoopBack100
     10.1.145.0/24  Direct  0    0           D   10.1.145.1      Serial1/0/0
     10.1.145.1/32  Direct  0    0           D   127.0.0.1       Serial1/0/0
     10.1.145.4/32  Direct  0    0           D   10.1.145.4      Serial1/0/0
     10.1.145.5/32  Direct  0    0           D   10.1.145.5      Serial1/0/0
   10.1.145.255/32  Direct  0    0           D   127.0.0.1       Serial1/0/0
      127.0.0.0/8   Direct  0    0           D   127.0.0.1       InLoopBack0
      127.0.0.1/32  Direct  0    0           D   127.0.0.1       InLoopBack0
127.255.255.255/32  Direct  0    0           D   127.0.0.1       InLoopBack0
255.255.255.255/32  Direct  0    0           D   127.0.0.1       InLoopBack0
### END 10.0.10.21
