Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,Leaf1,Ethernet47,mlag_peer,Leaf2,Ethernet47,True
l3leaf,Leaf1,Ethernet48,mlag_peer,Leaf2,Ethernet48,True
l3leaf,Leaf1,Ethernet49/1,spine,Spine1,Ethernet6/1,True
l3leaf,Leaf1,Ethernet51/1,spine,Spine2,Ethernet6/1,True
l3leaf,Leaf2,Ethernet47,mlag_peer,Leaf1,Ethernet47,True
l3leaf,Leaf2,Ethernet48,mlag_peer,Leaf1,Ethernet48,True
l3leaf,Leaf2,Ethernet49/1,spine,Spine1,Ethernet7/1,True
l3leaf,Leaf2,Ethernet51/1,spine,Spine2,Ethernet7/1,True
l3leaf,Leaf3,Ethernet47,mlag_peer,Leaf4,Ethernet47,True
l3leaf,Leaf3,Ethernet48,mlag_peer,Leaf4,Ethernet48,True
l3leaf,Leaf3,Ethernet49/1,spine,Spine1,Ethernet8/1,True
l3leaf,Leaf3,Ethernet51/1,spine,Spine2,Ethernet8/1,True
l3leaf,Leaf4,Ethernet47,mlag_peer,Leaf3,Ethernet47,True
l3leaf,Leaf4,Ethernet48,mlag_peer,Leaf3,Ethernet48,True
l3leaf,Leaf4,Ethernet49/1,spine,Spine1,Ethernet9/1,True
l3leaf,Leaf4,Ethernet51/1,spine,Spine2,Ethernet9/1,True
l3leaf,Leaf5,Ethernet49/1,spine,Spine1,Ethernet1,True
l3leaf,Leaf5,Ethernet51/1,spine,Spine2,Ethernet1,True
l3leaf,Leaf7,Ethernet49/1,spine,Spine1,Ethernet2,True
l3leaf,Leaf7,Ethernet51/1,spine,Spine2,Ethernet2,True
spine,Spine1,Ethernet1,l3leaf,Leaf5,Ethernet49/1,True
spine,Spine1,Ethernet2,l3leaf,Leaf7,Ethernet49/1,True
spine,Spine1,Ethernet6/1,l3leaf,Leaf1,Ethernet49/1,True
spine,Spine1,Ethernet7/1,l3leaf,Leaf2,Ethernet49/1,True
spine,Spine1,Ethernet8/1,l3leaf,Leaf3,Ethernet49/1,True
spine,Spine1,Ethernet9/1,l3leaf,Leaf4,Ethernet49/1,True
spine,Spine2,Ethernet1,l3leaf,Leaf5,Ethernet51/1,True
spine,Spine2,Ethernet2,l3leaf,Leaf7,Ethernet51/1,True
spine,Spine2,Ethernet6/1,l3leaf,Leaf1,Ethernet51/1,True
spine,Spine2,Ethernet7/1,l3leaf,Leaf2,Ethernet51/1,True
spine,Spine2,Ethernet8/1,l3leaf,Leaf3,Ethernet51/1,True
spine,Spine2,Ethernet9/1,l3leaf,Leaf4,Ethernet51/1,True
