### BEGIN 10.14.10.80
Route Flags: R - relay, D - download to fib, T - to vpn-instance, B - black hole route
------------------------------------------------------------------------------
Routing Table : _public_
         Destinations : 107      Routes : 107       

Destination/Mask    Proto   Pre  Cost        Flags NextHop         Interface

        1.1.1.0/24  Direct  0    0             D   1.1.1.2         GigabitEthernet0/1/2.20011111
        1.1.1.1/32  Direct  0    0             D   127.0.0.1       LoopBack1
        1.1.1.2/32  Direct  0    0             D   127.0.0.1       GigabitEthernet0/1/2.20011111
      1.1.1.255/32  Direct  0    0             D   127.0.0.1       GigabitEthernet0/1/2.20011111
     10.10.10.0/24  Unr     61   0             DB  127.0.0.1       NULL0
     10.10.10.1/32  Unr     61   0             D   127.0.0.1       InLoopBack0
       80.1.1.0/24  Unr     61   0             DB  127.0.0.1       NULL0
       80.1.1.1/32  Unr     61   0             D   127.0.0.1       InLoopBack0
     80.1.1.200/32  Unr     63   0             D   80.1.1.200      GigabitEthernet0/1/2.2001
  100.100.101.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.102.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.103.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.104.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.105.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.106.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.107.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.108.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.109.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.110.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.111.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.112.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.113.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.114.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.115.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.116.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.117.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.118.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.119.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.120.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.121.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.122.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.123.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.124.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.125.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.126.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.127.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.128.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.129.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.130.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.131.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.132.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.133.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.134.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
  100.100.135.1/32  OSPF    10   1             D   172.21.1.2      GigabitEthernet0/1/0
